school,test_optional,for_class_year,n_applicants,acceptance_rate,sat_25th,sat_75th,sat_median
Wabash College,Yes,2021,1307,0.642,1120.0,1320.0,1220.0
DePauw University,Yes,All / Permanent Policy,4935,0.644,1130.0,1360.0,1245.0
Drury University,Yes,All / Permanent Policy,1664,0.644,1045.0,1225.0,1135.0
St. John Fisher College,Yes,2021 2022,4720,0.645,1070.0,1260.0,1165.0
University of San Francisco,Yes,All / Permanent Policy,18411,0.6459999999999999,1130.0,1330.0,1230.0
Bard College,Yes,All / Permanent Policy,5141,0.6459999999999999,1248.0,1420.0,1334.0
Goshen College,Yes,2021,1278,0.647,1010.0,1210.0,1110.0
Agnes Scott College,Yes,All / Permanent Policy,1751,0.648,1130.0,1340.0,1235.0
Virginia Polytechnic Institute and State University,Yes,2021,31936,0.648,1180.0,1390.0,1285.0
University of Houston,Yes,2021,25393,0.65,1140.0,1310.0,1225.0
University of North Carolina—​Charlotte,Yes,2021,21867,0.65,1120.0,1290.0,1205.0
Truman State University,Yes (TF),2021,4568,0.653,1080.0,1358.0,1219.0
University of North Carolina—​Wilmington,Yes,2021,13287,0.655,1170.0,1320.0,1245.0
SUNY—​Geneseo,Yes,2021,10433,0.655,1120.0,1310.0,1215.0
Embry-​Riddle Aeronautical University,Yes,All / Permanent Policy,6017,0.655,1110.0,1320.0,1215.0
University of the Pacific,Yes,All / Permanent Policy,13096,0.6559999999999999,1130.0,1360.0,1245.0
Rochester Institute of Technology,Yes,All / Permanent Policy,18948,0.66,1200.0,1400.0,1300.0
Berry College,Yes,All / Permanent Policy,3970,0.6609999999999999,1110.0,1310.0,1210.0
Mississippi State University,Yes,2021,18269,0.663,1070.0,1280.0,1175.0
Sewanee—​University of the South,Yes,All / Permanent Policy,3545,0.667,1150.0,1340.0,1245.0
Hanover College,Yes,All / Permanent Policy,7795,0.669,1078.0,1300.0,1189.0
Coe College,Yes*,All / Permanent Policy,7795,0.669,1078.0,1300.0,1189.0
Randolph-​Macon College,Yes,2021,2907,0.6709999999999999,1020.0,1240.0,1130.0
Loyola University Chicago,Yes,All / Permanent Policy,25583,0.672,1140.0,1320.0,1230.0
University of Vermont,Yes,2021,19233,0.6729999999999999,1180.0,1360.0,1270.0
San Francisco State University,Yes (TB),2021,34629,0.6729999999999999,940.0,1150.0,1045.0
Brigham Young University—​Provo,Yes,2021,10500,0.675,1210.0,1420.0,1315.0
Drake University,Yes,All / Permanent Policy,6944,0.6759999999999999,1100.0,1370.0,1235.0
Stonehill College,Yes,All / Permanent Policy,6961,0.677,1120.0,1290.0,1205.0
Elmhurst College,Yes,2021,4175,0.6779999999999999,990.0,1210.0,1100.0
Taylor University,Yes,All / Permanent Policy,2341,0.6809999999999999,1080.0,1310.0,1195.0
DePaul University,Yes,All / Permanent Policy,26895,0.682,1070.0,1290.0,1180.0
Knox College,Yes,All / Permanent Policy,3397,0.6829999999999999,1090.0,1350.0,1220.0
Hofstra University,Yes,All / Permanent Policy,24425,0.685,1160.0,1340.0,1250.0
Ithaca College,Yes,All / Permanent Policy,15278,0.685,1160.0,1338.0,1249.0
California State University--San Bernardino,Yes (TB),2021,16307,0.6859999999999999,910.0,1090.0,1000.0
University of South Carolina,Yes,2021,31268,0.6859999999999999,1180.0,1370.0,1275.0
Albion College,Yes,2021,4043,0.688,990.0,1200.0,1095.0
Presbyterian College (SC),Yes,All / Permanent Policy,2462,0.688,1010.0,1210.0,1110.0
Texas Tech University,Yes,2021,25384,0.6890000000000001,1070.0,1260.0,1165.0
Ohio Wesleyan University,Yes,All / Permanent Policy,4705,0.6900000000000001,1060.0,1295.0,1177.5
Ripon College,Yes,All / Permanent Policy,2619,0.6900000000000001,1000.0,1210.0,1105.0
Drew University,Yes,All / Permanent Policy,3788,0.6920000000000001,1110.0,1310.0,1210.0
Central Michigan,Yes,2021,16411,0.6950000000000001,990.0,1200.0,1095.0
Oklahoma State University,Yes,2021,15277,0.7000000000000001,1040.0,1265.0,1152.5
Bradley University,Yes,All / Permanent Policy,10708,0.7020000000000001,1070.0,1270.0,1170.0
Seton Hall University,Yes,2021,19260,0.7040000000000001,1150.0,1310.0,1230.0
Biola University,Yes,2021,4149,0.705,1080.0,1310.0,1195.0
Ursinus College,Yes,All / Permanent Policy,3361,0.7090000000000001,1140.0,1320.0,1230.0
Montclair State,Yes,All / Permanent Policy,14324,0.7090000000000001,990.0,1170.0,1080.0
Clarkson University,Yes,2021,6885,0.711,1160.0,1350.0,1255.0
Michigan State University,Yes,2021,44322,0.711,1100.0,1320.0,1210.0
Hollins University,Yes,2021,3244,0.7120000000000001,1070.0,1300.0,1185.0
Creighton University,Yes,All / Permanent Policy,10112,0.7140000000000001,1150.0,1350.0,1250.0
California Lutheran University,Yes,All / Permanent Policy,5752,0.715,1070.0,1250.0,1160.0
University of Mary Washington,Yes,All / Permanent Policy,5909,0.718,1050.0,1269.0,1159.5
Christopher Newport University,Yes*,All / Permanent Policy,7204,0.7190000000000001,1110.0,1280.0,1195.0
University of California—Merced,Yes,2021 2022 2023 2024,25368,0.72,980.0,1180.0,1080.0
Mercer University,Yes,2021 2022 2023,5454,0.72,1180.0,1340.0,1260.0
University of Dayton,Yes,2021,17462,0.72,1120.0,1320.0,1220.0
Lewis & Clark College,Yes,All / Permanent Policy,5863,0.7220000000000001,1220.0,1400.0,1310.0
Hendrix College,Yes,All / Permanent Policy,1545,0.7220000000000001,1153.0,1390.0,1271.5
University of Rhode Island,Yes,2021,21259,0.723,1012.0,1345.0,1178.5
California State University--Chico,Yes (TB),2021,25908,0.723,990.0,1180.0,1085.0
Stetson University,Yes,All / Permanent Policy,13005,0.7240000000000001,1110.0,1300.0,1205.0
Quinnipiac University,Yes,All / Permanent Policy,22753,0.725,1090.0,1260.0,1175.0
Duquesne University,Yes,All / Permanent Policy,7411,0.725,1130.0,1300.0,1215.0
University of Illinois—​Chicago,Yes,2021,22696,0.7270000000000001,1030.0,1260.0,1145.0
University of Akron,Yes,2021,14553,0.73,990.0,1230.0,1110.0
St. John's University (NY),Yes,All / Permanent Policy,27276,0.731,1070.0,1270.0,1170.0
University of Cincinnati,Yes,2021 2022,23296,0.731,1160.0,1370.0,1265.0
Simmons University,Yes,2021,2933,0.731,1110.0,1290.0,1200.0
Wayne State University,Yes,2021,15716,0.731,1010.0,1230.0,1120.0
Butler University,Yes,All / Permanent Policy,14891,0.7320000000000001,1150.0,1330.0,1240.0
Point Loma Nazarene University,Yes,2021,3277,0.737,1140.0,1310.0,1225.0
University of North Texas,Yes*,2021,21540,0.737,1060.0,1250.0,1155.0
University of North Georgia,Yes,2021,6498,0.737,1108.0,1273.0,1190.5
Xavier University,Yes,All / Permanent Policy,15100,0.738,1070.0,1250.0,1160.0
Wheaton College (MA),Yes,All / Permanent Policy,3460,0.7390000000000001,1150.0,1340.0,1245.0
Eastern Michigan,Yes*,2021,14323,0.741,970.0,1190.0,1080.0
University of Washington--Bothell,Yes,2021,4242,0.741,1038.0,1250.0,1144.0
Adelphi University,Yes,2021,13006,0.742,1080.0,1270.0,1175.0
Baldwin Wallace University,Yes,All / Permanent Policy,3926,0.742,1030.0,1250.0,1140.0
Michigan Technological University,Yes,2021,5978,0.743,1170.0,1370.0,1270.0
Drexel University,Yes,2021,31824,0.747,1190.0,1390.0,1290.0
University of Redlands,Yes,All / Permanent Policy,4713,0.75,1100.0,1250.0,1175.0
Loyola University New Orleans,Yes (TB),All / Permanent Policy,5857,0.75,1050.0,1260.0,1155.0
California State University--Monterey Bay,Yes (TB),2021,12327,0.753,960.0,1170.0,1065.0
Whittier College,Yes*,All / Permanent Policy,6220,0.7590000000000001,1030.0,1213.0,1121.5
Kalamazoo College,Yes,All / Permanent Policy,3576,0.76,1170.0,1370.0,1270.0
Towson University,Yes,2021,12678,0.763,1060.0,1220.0,1140.0
Centre College,Yes,2021 2022 2023,2212,0.7640000000000001,1130.0,1380.0,1255.0
University of Texas San Antonio,Yes,2021,17122,0.766,1030.0,1220.0,1125.0
James Madison University,Yes,All / Permanent Policy,23578,0.768,1120.0,1290.0,1205.0
Appalachian State University,Yes,2021,16664,0.768,1100.0,1270.0,1185.0
Indiana University—​Bloomington,Yes,All / Permanent Policy,44169,0.7690000000000001,1150.0,1360.0,1255.0
High Point University,Yes,All / Permanent Policy,10098,0.7690000000000001,1090.0,1250.0,1170.0
