school,test_optional,for_class_year,n_applicants,acceptance_rate,sat_25th,sat_75th,sat_median
University of Toledo,Yes,All / Permanent Policy,10228,0.951,1000.0,1240.0,1120.0
Portland State,Yes,All / Permanent Policy,7821,0.961,1010.0,1230.0,1120.0
Queens University of Charlotte,Yes,All / Permanent Policy,2319,0.9620000000000001,1040.0,1240.0,1140.0
Western Kentucky,Yes*,All / Permanent Policy,8245,0.973,990.0,1220.0,1105.0
United States Naval Academy,No,,16332,0.083,1240.0,1520.0,1380.0
United States Military Academy,No,,11675,0.10300000000000001,1160.0,1380.0,1270.0
United States Air Force Academy,No,,10354,0.111,1230.0,1440.0,1335.0
United States Coast Guard Academy,No,,2274,0.128,1245.0,1420.0,1332.5
United States Merchant Maritime Academy,No,,1693,0.24800000000000003,1200.0,1340.0,1270.0
Howard University,No,,20946,0.316,1140.0,1285.0,1212.5
Florida State University,No,,58936,0.36,1200.0,1340.0,1270.0
Hillsdale College,No,,2208,0.36,1275.0,1465.0,1370.0
University of Central Florida,No,,35240,0.38200000000000006,1160.0,1340.0,1250.0
University of Florida,No,,38905,0.38799999999999996,1280.0,1440.0,1360.0
University of South Florida,No,,36986,0.47700000000000004,1170.0,1330.0,1250.0
Gallaudet University,No,,496,0.5710000000000001,793.0,1078.0,935.5
Florida International,No,,18492,0.5750000000000001,1240.0,1300.0,1270.0
Morehouse College,No,,3554,0.579,1010.0,1210.0,1110.0
University of Alabama,No,,37302,0.5910000000000001,1060.0,1280.0,1170.0
Florida Institute of Technology,No,,9743,0.657,1150.0,1360.0,1255.0
Louisiana State University—​Baton Rouge,No,,24501,0.746,1080.0,1310.0,1195.0
The Citadel,No,,2742,0.747,1050.0,1230.0,1140.0
New College of Florida,No,,1340,0.768,1220.0,1420.0,1320.0
Thomas Aquinas College,No,,211,0.777,1220.0,1400.0,1310.0
University of Texas Rio Grande Valley,No,,10680,0.798,950.0,1130.0,1040.0
University of South Dakota,No,,4434,0.8640000000000001,990.0,1180.0,1085.0
University of Mississippi,No,,15371,0.881,1050.0,1270.0,1160.0
University of Wyoming,No,,5348,0.96,1060.0,1280.0,1170.0
University of Texas El Paso,No,,7157,0.9990000000000001,820.0,1050.0,935.0
